id_driver,courier_score,courier_dtype,total_orders,total_shifts,avg_orders_per_shift,days_active,experience_category,avg_time_ratio,median_time_ratio,stddev_up_ratio,pct_timer_up_expired
50495,0.6874936190797208,Авто,2341,97,24.1340206185567,138,эксперт,0.4688517487734706,0.4664466446644664,0.1243560140317315,0.0968288549987896
216358,0.25867742661890086,Авто,246,25,9.84,37,обычный,0.6060683703625311,0.5901162790697675,0.1664133972300023,4.008908685968819
185238,0.31081058262113725,Авто,532,72,7.388888888888889,102,опытный,0.6172934366553098,0.598615876194543,0.1910182120401057,5.319148936170213
176676,0.3850490641618785,Авто,1122,103,10.893203883495143,102,опытный,0.641822966760578,0.6322554592215087,0.1687448006220357,3.2555282555282554
91410,0.3792150978605129,Авто,490,55,8.909090909090908,128,опытный,0.666196186842481,0.6720794943435644,0.1748874535786861,1.1166253101736971
205520,0.40282098708156605,Авто,773,51,15.15686274509804,69,опытный,0.4896687012038607,0.4645989974937343,0.1694461127940849,1.4285714285714286
149493,0.5701662565790254,Авто,985,53,18.58490566037736,131,опытный,0.4979063731066309,0.4832238289685098,0.1595536439416784,0.701530612244898
155779,0.5821947796055625,Электровело,2172,105,20.685714285714287,112,эксперт,0.4557172418402455,0.434580945219243,0.1545332125564231,0.9187907528156491
140871,0.34051005015457625,Авто,729,75,9.72,117,опытный,0.543011531755302,0.532169226350381,0.1609814400696268,1.4308426073131957
124369,0.28882997958758855,Электровело,142,24,5.916666666666667,135,обычный,0.5539207097106685,0.5316861012653893,0.1848508922330564,2.0161290322580645
198893,0.3101613848979051,Авто,518,54,9.592592592592592,71,опытный,0.5187236077571453,0.4781867942653109,0.2168921995849878,3.4526854219948846
208795,0.28157690009248393,Электровело,311,28,11.107142857142858,48,опытный,0.5076381344163973,0.4682197683813628,0.1768095670532035,2.9069767441860463
169565,0.4260737273003409,Электровело,731,62,11.790322580645162,137,опытный,0.4930886020555946,0.4597063940132805,0.1865247358724407,2.530541012216405
173700,0.3938294919927181,Авто,485,37,13.108108108108109,99,опытный,0.5497907737256154,0.5385450597176982,0.1485711605031672,1.49812734082397
164338,0.2826338840473526,Пеший,171,30,5.7,110,обычный,0.5787277651425152,0.5556978788056117,0.205510496098855,6.363636363636363
200966,0.40362712278764656,Электровело,307,20,15.35,32,опытный,0.6510206177121877,0.6442816663325621,0.176054813420181,0.641025641025641
205279,0.43369569729020335,Вело,320,21,15.238095238095235,73,опытный,0.5849314880482572,0.5728346456692913,0.1625553664233106,2.3090586145648317
210544,0.36710656267891767,Авто,557,59,9.440677966101696,61,опытный,0.7153238769266541,0.7095238095238096,0.2002904148486191,15.135135135135137
213101,0.37986571088802884,Электровело,311,24,12.958333333333334,50,опытный,0.6464920595460603,0.6319648093841642,0.1793540426495763,5.366726296958855
131646,0.4141345557750148,Авто,341,30,11.366666666666667,107,опытный,0.6291131674560044,0.621676891615542,0.1816718153119987,4.215851602023609
170009,0.3503506259903568,Авто,516,42,12.285714285714286,77,опытный,0.5780572998623249,0.5711159737417943,0.1496481414090638,1.1049723756906076
46396,0.6223336305681215,Авто,957,42,22.785714285714285,79,опытный,0.5734478589995414,0.5637065637065637,0.1535955958536646,1.473187978786093
153600,0.378705364904664,Авто,201,26,7.730769230769231,119,обычный,0.7567455086634073,0.7707667731629393,0.1774993199975238,6.997084548104956
35745,0.24755005552380088,Электровело,265,30,8.833333333333334,41,опытный,0.5477746017319437,0.5115728642022237,0.1923202166819782,6.887755102040815
214396,0.13121711151584814,Электровело,167,29,5.758620689655173,49,обычный,0.4873692416180228,0.4594780219780219,0.1609233781949236,2.4822695035460995
191253,0.34982184392176185,Авто,170,20,8.5,71,обычный,0.7273368173613244,0.725699067909454,0.1918270398947651,13.48314606741573
